Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
72193,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Bloomsbury Publishing,Paperback,223,1997,1997,,2/18/2023,,,read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,,,0,4.44,Simon & Schuster,ebook,320,2022,2022,,2/18/2023,to-read,to-read (#31),to-read,,,,0,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,,,0,4.18,Roc,Paperback,297,2000,1968,,2/18/2023,to-read,to-read (#30),to-read,,,,0,0
41811,"The Caves of Steel (Robot, #1)",Isaac Asimov,"Asimov, Isaac",,,,0,4.19,Voyager,Mass Market Paperback,206,1997,1953,,2/18/2023,to-read,to-read (#29),to-read,,,,0,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",Jack Womack,,,0,3.89,Ace,Kindle Edition,268,2018,1984,,2/18/2023,to-read,to-read (#28),to-read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti",,,4,3.89,Signet Classics,Paperback,118,2002,1895,,2/18/2023,,,read,,,,1,0
80240,Blade Runner 2: The Edge of Human,K.W. Jeter,"Jeter, K.W.",,0553762672,9780553762679,0,3.66,Random House Worlds,Paperback,320,2000,1995,,2/18/2023,to-read,to-read (#27),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9780307887436,0,4.23,Crown Publishers,Hardcover,480,2011,2011,,2/18/2023,to-read,to-read (#26),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,0804139024,9780804139021,0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2/18/2023,to-read,to-read (#25),to-read,,,,0,0
99219,"The Butlerian Jihad (Legends of Dune, #1)",Brian Herbert,"Herbert, Brian",Kevin J. Anderson,0765340771,9780765340771,0,4.01,Tor Books,Mass Market Paperback,695,2018,2002,,2/18/2023,to-read,to-read (#24),to-read,,,,0,0
248871,"Berserk, Vol. 1 (Berserk, #1)",Kentaro Miura,"Miura, Kentaro",,1593070209,9781593070205,0,4.49,Dark Horse Manga,Paperback,224,2003,1990,,2/18/2023,to-read,to-read (#23),to-read,,,,0,0
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,0446365386,9780446365383,0,4.31,Warner Books,Mass Market Paperback,1037,1993,1936,,2/18/2023,to-read,to-read (#22),to-read,,,,0,0
60864419,The Witch of Tin Mountain,Paulette Kennedy,"Kennedy, Paulette",,1662507631,9781662507632,0,4.04,Lake Union Publishing,Kindle Edition,328,2023,2023,,2/18/2023,to-read,to-read (#21),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,,,0,4.3,Ecco,Paperback,408,2012,2011,,2/18/2023,to-read,to-read (#20),to-read,,,,0,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,0440242940,9780440242949,0,4.26,Dell,Mass Market Paperback,850,2005,1991,,2/18/2023,to-read,to-read (#19),to-read,,,,0,0
13625984,"V de Vendetta, Tomo 1 (V for Vendetta #1 de 2)",Alan             Moore,"Moore, Alan","David   Lloyd, Carlos Mayor Ortega",8446801590,9788446801597,0,3.78,Editorial Zinco (DC Comics),Paperback,180,1993,1993,,2/18/2023,to-read,to-read (#18),to-read,,,,0,0
6442769,Paper Towns,John Green,"Green, John",Gázsity Mila,014241493X,9780142414934,0,3.7,Speak,Paperback,305,2009,2008,,2/18/2023,to-read,to-read (#17),to-read,,,,0,0
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,0062498533,9780062498533,0,4.45,Clarion Books,Hardcover,454,2017,2017,,2/18/2023,to-read,to-read (#16),to-read,,,,0,0
11870085,The Fault in Our Stars,John Green,"Green, John",,,,0,4.12,Dutton Books,Hardcover,313,2012,2012,,2/18/2023,to-read,to-read (#15),to-read,,,,0,0
17856572,"Watchmen #1: At Midnight, All The Agents…",Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins, Len Wein",,,0,4.33,DC Comics,Paperback,34,1986,1986,,2/18/2023,to-read,to-read (#14),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,0,4.1,Dial Press,Paperback,275,1999,1969,,2/18/2023,to-read,to-read (#13),to-read,,,,0,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,0670532576,9780670532575,5,4.14,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,2/18/2023,,,read,,,,1,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,067001690X,9780670016907,0,4.03,Viking,Hardcover,496,2014,1939,,2/18/2023,to-read,to-read (#12),to-read,,,,0,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood",0451525264,9780451525260,0,4.21,Penguin,Mass Market Paperback,1463,1987,1862,,2/18/2023,to-read,to-read (#11),to-read,,,,0,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,0449213943,9780449213940,0,4.11,Ballantine Books,Mass Market Paperback,296,1987,1928,,2/18/2023,to-read,to-read (#10),to-read,,,,0,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,4,4.3,Houghton Mifflin,Paperback,366,2002,1937,,2/18/2023,,,read,,,,1,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,1561797464,9781561797462,0,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2/18/2023,to-read,to-read (#9),to-read,,,,0,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg",0521618746,9780521618748,4,4.03,Cambridge University Press,Paperback,289,2005,1601,,2/18/2023,,,read,,,,1,0
51496,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Dan Chaon, Jerome Charyn, Simon Vestdijk",0451528956,9780451528957,0,3.83,Signet Classic,Mass Market Paperback,139,2003,1886,,2/18/2023,to-read,to-read (#8),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,0140449264,9780140449266,0,4.32,Penguin Classics,Paperback,1276,2003,1844,,2/18/2023,to-read,to-read (#7),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,0060929871,9780060929879,4,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2/18/2023,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox",0143039954,9780143039952,5,3.83,Penguin Classics ,Paperback,541,2006,-700,,2/18/2023,,,read,,,,1,0
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Nina Baym, Thomas E. Connolly",0142437263,9780142437261,3,3.44,Penguin Books,Paperback,279,2002,1850,,2/18/2023,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee",,9780143039563,0,3.92,Penguin Classics,Paperback,244,2006,1876,,2/18/2023,to-read,to-read (#6),to-read,,,,0,0
